symbol,date,forward_return_20d,ma_20,ma_50,ma_200,price_to_ma20,price_to_ma50,price_to_ma200,ma20_slope,ma50_slope,rsi_14,macd,macd_signal,macd_histogram,bb_position,bb_width,volume_ma_20,volume_ratio,return_1d,return_5d,return_20d,return_60d,volatility_20d,atr_14
TSLA,2023-09-29 04:00:00,-0.17152905443209965,256.96799999999996,251.22619999999995,205.81315000000004,-0.026260079075993703,-0.004005155513238434,0.215762938373957,-0.0041389573547876415,-0.014981540671687542,32.457194352658476,-1.1475966729622655,-1.1475966729622655,0.0,0.3509559390301088,0.17619004008015202,122007601.15,1.052989549741672,0.015585680655897383,0.021806599150604455,-0.03045567265964033,-0.09517610472264415,0.5206821859413634,8.996723076923077
TSLA,2023-10-02 04:00:00,-0.21558028616852143,257.2975,251.0578,206.2664,-0.022143627512898556,0.0021596620379848996,0.21978179674440423,-0.004482387717832063,-0.012980058924498201,37.164565147106366,-1.0768239503921677,-1.0768239503921677,0.0,0.3712002282351818,0.17192287850736065,121574058.85,1.0183949040704419,0.0055151466709295605,0.018664723268148498,0.026896861352597945,-0.08319061327114385,0.4885035712682137,9.316715384615385
TSLA,2023-10-03 04:00:00,-0.18533241390500144,256.7995,250.6072,206.71505000000002,-0.03999034266032453,-0.016269285160202873,0.19260789187821592,-0.007426919345549545,-0.011154769166907899,30.37553478054194,-1.4135481825621241,-1.4135481825621241,0.0,0.2729090031591253,0.17609831836858894,120200552.85,0.8484595335203569,-0.02015103338632751,0.009872194002949364,-0.03883192327186247,-0.08560513334075148,0.46505748483467835,9.382915384615385
TSLA,2023-10-04 04:00:00,-0.21251340174605615,257.26149999999996,250.5248,207.2325,0.015153841519232714,0.042451685421962315,0.2602270396776569,-0.0024254809276933113,-0.0073405938883593525,39.80821917808221,-0.49418912591394815,-0.49418912591394815,0.0,0.5863613687630543,0.17547014059966481,120838993.25,1.0735075120298554,0.059343690423072415,0.0859043659043659,0.03667831057478588,-0.03198784239593755,0.5059059223735353,9.9483
TSLA,2023-10-05 04:00:00,-0.15973851182464915,257.68950000000007,250.4388,207.7816,0.009160249059429804,0.03837743991745701,0.2515545168580857,0.0012764171727654011,-0.004139497486477914,40.10488545404364,0.14319120765270554,0.14319120765270554,0.0,0.5525931844012966,0.17417178981852913,121031309.65,0.9845321375484265,-0.004250268034921123,0.0554833996265931,0.034037138653624455,-0.043898672745321554,0.506235812440382,9.696000000000005
TSLA,2023-10-06 04:00:00,-0.1557210302076535,258.291,250.5352,208.33489999999998,0.008668517292511169,0.03989379536288706,0.2505345959798382,0.005148500980666994,-0.002750509301975454,46.279179069403106,0.6792220535222953,0.6792220535222953,0.0,0.55073558662151,0.1708567471029482,121008803.5,0.9760307397800194,0.001845798884829719,0.04120374070817667,0.048410462776659946,-0.06250449802087088,0.5036542198400021,10.030615384615384
TSLA,2023-10-09 04:00:00,-0.15558208495398007,257.5955,250.3998,208.94424999999998,0.00805332391287883,0.037021595065171775,0.24277169627783501,0.0011581923648694675,-0.002620910403898971,44.61950527808414,1.0228448295908095,1.0228448295908095,0.0,0.5495291804192418,0.1625975605635157,117344308.25,0.8639357844610244,-0.003300963420719172,0.03207472178060411,-0.05084435996783376,-0.07715544814841135,0.35512569483119194,9.864507692307692
TSLA,2023-10-10 04:00:00,-0.15719596388741364,257.40250000000003,250.3236,209.57449999999997,0.024154777051504928,0.05311684555511342,0.25788204194689746,0.002348135413036274,-0.0011316514449704834,50.81089592190208,1.5955083170565558,1.5955083170565558,0.0,0.650593803486806,0.16039688547756925,116677553.95,1.0512392987991672,0.01521161474178756,0.06932219202531131,-0.014430985494242599,-0.09215510710104002,0.35228879751670544,10.088353846153849
TSLA,2023-10-11 04:00:00,-0.15544317274421082,256.98699999999997,250.36199999999997,210.2627,0.023359158245358946,0.05043896437957862,0.25076868127347374,-0.001067007694505354,-0.0006498358645532606,56.366812227074256,1.9757374503467418,1.9757374503467418,0.0,0.6513920944221913,0.15429575985795277,116279180.4,0.8918730390363157,-0.0023898035050451405,0.007007198652167146,-0.03063029856247701,-0.10346355764641701,0.3481838155422925,9.6569076923077
TSLA,2023-10-12 04:00:00,-0.18885927299416705,256.1285,250.4572,210.94129999999998,0.010703611663676726,0.03358977102674632,0.22721344753256023,-0.0060576779418645,7.34710436242865e-05,63.837784371909024,1.9224612732909065,1.9224612732909065,0.0,0.5768402952775206,0.13929685752792936,116469094.0,0.9574051808113146,-0.015665994904749292,-0.004537588925206726,-0.06220113027097529,-0.11120648218086926,0.34451118309914486,9.656084615384627
TSLA,2023-10-13 04:00:00,-0.14522937241159606,254.965,250.29319999999998,211.6514,-0.01508050124526894,0.00330332585943216,0.18647927677303344,-0.012876948867749916,-0.0009659321324908381,53.67503114433173,1.2405786699191026,1.2405786699191026,0.0,0.37868517238249494,0.12430880496171819,114891362.65,0.8889935992068242,-0.029937806621083918,-0.036118681149963416,-0.08480629760559777,-0.04480791175351839,0.35689562410366965,9.770707692307704
